layer,epoch,Model,n trials,dataset,Mean test accuracy,std deviation,Mean Dirichlet energy,std Dirichlet energy
4,2000,gcn,50,wiki,0.7312,0.013,119.1959,35.833
8,2000,gcn,50,wiki,0.6082,0.034,92.8894,53.397
