layer,epoch,Model,n trials,dataset,Mean test accuracy,std deviation,Mean Dirichlet energy,std Dirichlet energy
1,2000,dagnn,50,cora,0.1498,0.060,0.0143,0.006
2,2000,dagnn,50,cora,0.1484,0.060,0.0041,0.002
4,2000,dagnn,50,cora,0.1576,0.064,0.0035,0.002
8,2000,dagnn,50,cora,0.1912,0.088,0.0034,0.001
16,2000,dagnn,50,cora,0.8184,0.012,0.0310,0.007
